"year","E_km","N_km","depth","bottom_temp","day_of_year","distance_fished"
1982,760,6180,131.423188085299,4.0601299544115,179.661585365854,2.767535022934
1982,780,6180,128.05938781574,4.06510936034822,179.661585365854,2.767535022934
1982,800,6180,124.033707423437,4.03141789750885,179.661585365854,2.767535022934
1982,820,6180,119.377443671231,3.93077897788891,179.661585365854,2.767535022934
1982,840,6180,114.56405921933,3.74516250876083,179.661585365854,2.767535022934
1982,860,6180,110.098746133252,3.49140614832125,179.661585365854,2.767535022934
1982,880,6180,106.1300612132,3.2172964862614,179.661585365854,2.767535022934
1982,900,6180,102.019852713097,2.99642392877516,179.661585365854,2.767535022934
1982,920,6180,96.3707601681244,2.911476750447,179.661585365854,2.767535022934
1982,940,6180,88.5972346802685,3.00729125175527,179.661585365854,2.767535022934
